Severity,Start_Time,Weather_Condition,Visibility(mi),Temperature(F),Humidity(%),Pressure(in),Wind_Speed(mph),State,End_Time
3,2022-08-23 19:13:00,Thunderstorm,7.6,73.2,71.2,30.72,8.3,TX,2022-08-23 21:01:00
3,2022-08-24 13:28:00,Cloudy,5.1,39.8,53.3,30.57,19.0,IL,2022-08-24 13:53:00
2,2022-01-15 18:41:00,Thunderstorm,9.0,96.2,67.6,29.55,29.3,MI,2022-01-15 20:15:00
4,2022-02-07 15:09:00,Cloudy,9.4,95.3,53.6,28.71,3.5,NC,2022-02-07 16:08:00
4,2022-07-02 00:13:00,Fog,8.1,45.8,32.2,28.58,4.3,TX,2022-07-02 01:01:00
4,2022-08-04 17:35:00,Haze,6.4,73.0,57.6,30.86,11.1,FL,2022-08-04 18:15:00
4,2022-09-09 17:02:00,Fog,3.2,32.0,75.3,28.61,25.1,OH,2022-09-09 17:26:00
3,2022-10-02 00:37:00,Rain,9.8,95.2,83.9,30.42,14.0,NC,2022-10-02 01:09:00
2,2022-06-23 04:55:00,Rain,2.9,66.6,59.5,29.11,9.6,FL,2022-06-23 06:37:00
2,2022-01-30 01:49:00,Smoke,2.2,33.0,33.2,30.96,16.8,MI,2022-01-30 02:37:00
3,2022-01-08 02:07:00,Cloudy,4.5,54.0,53.2,29.1,7.8,GA,2022-01-08 02:25:00
2,2022-06-01 16:01:00,Smoke,0.8,35.4,82.9,29.05,12.0,GA,2022-06-01 16:17:00
3,2022-04-21 14:52:00,Smoke,9.8,57.5,53.0,29.91,10.0,NY,2022-04-21 15:45:00
4,2022-11-28 10:26:00,Clear,6.0,76.9,75.7,30.88,24.1,PA,2022-11-28 10:43:00
3,2022-12-11 23:22:00,Haze,5.7,62.9,60.6,30.93,27.7,GA,2022-12-12 00:12:00
4,2022-05-23 11:17:00,Snow,6.6,56.9,39.3,30.12,22.8,NC,2022-05-23 13:10:00
4,2022-01-16 07:11:00,Snow,5.1,38.3,83.7,30.26,13.2,TX,2022-01-16 08:00:00
1,2022-11-19 04:17:00,Clear,0.5,47.1,26.7,29.69,15.1,CA,2022-11-19 05:39:00
3,2022-04-10 16:01:00,Clear,6.2,37.0,62.0,30.27,3.8,IL,2022-04-10 16:39:00
1,2022-09-02 10:17:00,Fog,7.2,86.5,36.7,30.58,22.4,MI,2022-09-02 12:05:00
3,2022-05-11 09:31:00,Snow,4.3,39.5,25.4,29.46,17.9,FL,2022-05-11 09:41:00
3,2022-06-14 17:19:00,Cloudy,7.6,71.7,60.2,29.86,27.1,PA,2022-06-14 18:57:00
1,2022-05-04 00:44:00,Thunderstorm,2.4,54.0,60.0,29.61,6.0,CA,2022-05-04 01:47:00
1,2022-11-14 06:47:00,Smoke,2.4,45.8,76.6,29.69,22.8,NY,2022-11-14 08:00:00
3,2022-12-23 11:13:00,Rain,1.8,74.8,79.6,30.67,20.5,PA,2022-12-23 11:33:00
2,2022-02-17 13:27:00,Smoke,3.8,62.0,78.2,29.07,8.0,TX,2022-02-17 14:20:00
4,2022-04-14 06:14:00,Smoke,8.5,58.0,52.8,28.62,20.0,GA,2022-04-14 06:29:00
1,2022-03-28 00:13:00,Thunderstorm,8.3,71.5,70.5,29.37,27.7,NY,2022-03-28 01:28:00
4,2022-08-07 22:21:00,Fog,4.0,64.4,66.2,28.62,27.6,TX,2022-08-07 23:03:00
2,2022-06-13 05:42:00,Snow,6.0,51.2,53.7,29.5,21.6,CA,2022-06-13 07:33:00
2,2022-11-10 14:50:00,Smoke,7.3,69.1,67.8,30.71,1.4,GA,2022-11-10 16:15:00
2,2022-06-11 20:37:00,Haze,2.6,76.9,95.8,29.85,26.2,MI,2022-06-11 22:01:00
1,2022-01-17 12:22:00,Clear,1.8,31.9,35.4,30.57,19.7,CA,2022-01-17 14:20:00
2,2022-12-20 19:32:00,Haze,9.7,62.6,92.5,28.5,9.3,OH,2022-12-20 21:27:00
1,2022-10-11 21:28:00,Haze,6.3,34.0,24.3,30.7,5.6,OH,2022-10-11 22:19:00
2,2022-04-17 10:05:00,Snow,9.8,43.0,44.7,29.81,3.5,PA,2022-04-17 11:23:00
4,2022-03-26 21:38:00,Cloudy,3.5,69.2,43.1,28.1,1.5,GA,2022-03-26 22:07:00
4,2022-11-12 13:38:00,Fog,7.1,90.6,70.1,29.9,22.6,MI,2022-11-12 15:13:00
3,2022-12-02 03:36:00,Smoke,2.4,91.8,30.5,30.85,7.1,CA,2022-12-02 03:49:00
4,2022-09-26 06:48:00,Smoke,2.8,34.9,90.6,28.24,0.7,CA,2022-09-26 06:58:00
3,2022-12-18 19:01:00,Smoke,5.2,59.3,86.3,29.75,11.9,CA,2022-12-18 20:30:00
4,2022-10-22 10:06:00,Clear,3.3,70.8,72.2,30.75,14.5,PA,2022-10-22 10:40:00
1,2022-07-13 13:10:00,Thunderstorm,1.8,40.3,56.7,28.03,5.1,OH,2022-07-13 14:53:00
4,2022-09-24 17:13:00,Cloudy,2.8,83.6,94.6,29.89,1.3,MI,2022-09-24 17:55:00
3,2022-03-25 12:23:00,Thunderstorm,0.6,82.1,86.5,29.42,5.7,NC,2022-03-25 12:38:00
3,2022-01-01 02:39:00,Rain,7.1,93.2,59.9,29.04,20.4,MI,2022-01-01 04:33:00
2,2022-04-24 04:33:00,Fog,5.0,30.6,76.1,29.88,2.5,IL,2022-04-24 05:07:00
1,2022-09-12 20:43:00,Cloudy,1.1,45.2,65.4,28.16,16.7,CA,2022-09-12 22:38:00
4,2022-04-13 07:09:00,Cloudy,1.9,87.9,67.0,30.26,4.4,NC,2022-04-13 07:26:00
2,2022-03-16 15:47:00,Smoke,1.2,76.9,46.5,28.01,5.9,IL,2022-03-16 16:40:00
4,2022-01-11 05:43:00,Thunderstorm,6.2,92.6,57.0,28.92,11.8,PA,2022-01-11 06:23:00
4,2022-02-02 00:21:00,Clear,1.1,34.0,26.2,29.51,3.0,NC,2022-02-02 01:24:00
2,2022-06-18 13:17:00,Rain,7.6,71.8,48.6,29.13,5.2,TX,2022-06-18 14:43:00
2,2022-08-29 12:51:00,Smoke,0.4,69.8,75.7,28.92,10.5,FL,2022-08-29 14:42:00
2,2022-06-10 03:24:00,Smoke,2.6,32.5,96.3,30.49,9.9,OH,2022-06-10 04:15:00
2,2022-05-11 04:10:00,Smoke,8.9,65.9,97.0,30.8,22.5,FL,2022-05-11 04:35:00
2,2022-08-22 23:07:00,Thunderstorm,7.2,72.7,64.5,30.62,2.2,TX,2022-08-22 23:59:00
4,2022-12-05 05:10:00,Cloudy,0.9,43.4,68.5,29.57,25.8,OH,2022-12-05 06:00:00
2,2022-10-09 13:33:00,Fog,8.2,49.1,34.9,30.65,24.5,GA,2022-10-09 14:04:00
1,2022-04-28 05:05:00,Cloudy,5.0,74.8,75.6,30.76,23.0,NC,2022-04-28 06:35:00
3,2022-05-23 00:55:00,Snow,8.5,62.8,25.7,29.23,9.3,TX,2022-05-23 01:34:00
2,2022-05-05 21:18:00,Fog,6.1,90.1,42.8,28.85,24.7,TX,2022-05-05 22:52:00
2,2022-07-06 22:00:00,Smoke,6.9,54.0,73.5,28.29,5.5,OH,2022-07-06 23:32:00
4,2022-11-25 07:39:00,Fog,9.9,48.7,44.8,29.44,3.7,NY,2022-11-25 09:06:00
2,2022-11-03 21:04:00,Cloudy,2.5,98.9,24.0,30.84,1.3,IL,2022-11-03 21:18:00
2,2022-08-11 17:52:00,Clear,6.3,93.8,86.5,29.68,28.2,CA,2022-08-11 19:14:00
2,2022-06-21 23:24:00,Smoke,4.7,32.0,44.8,30.0,9.2,PA,2022-06-22 00:50:00
4,2022-05-19 17:35:00,Fog,0.6,84.0,25.0,28.34,27.5,MI,2022-05-19 18:01:00
2,2022-02-13 10:31:00,Snow,0.3,37.7,26.0,28.43,8.2,GA,2022-02-13 11:44:00
3,2022-04-26 11:17:00,Thunderstorm,1.4,31.9,40.1,29.39,27.2,CA,2022-04-26 12:55:00
4,2022-02-26 02:51:00,Clear,6.6,49.2,34.2,30.85,27.1,TX,2022-02-26 03:27:00
3,2022-11-19 05:48:00,Clear,5.8,48.9,81.9,29.08,27.7,OH,2022-11-19 06:13:00
4,2022-09-13 17:46:00,Clear,5.6,87.4,45.7,30.63,14.9,TX,2022-09-13 18:50:00
2,2022-06-12 13:44:00,Fog,0.5,79.7,84.4,28.36,26.0,NC,2022-06-12 14:37:00
3,2022-05-21 12:26:00,Clear,4.8,98.7,33.9,29.85,28.5,PA,2022-05-21 13:05:00
4,2022-05-09 02:16:00,Cloudy,9.3,79.8,59.4,29.8,9.7,IL,2022-05-09 03:42:00
1,2022-10-05 02:09:00,Clear,4.1,59.3,75.0,30.58,12.6,OH,2022-10-05 03:42:00
2,2022-12-11 11:23:00,Snow,6.3,78.9,72.2,28.01,21.6,MI,2022-12-11 12:39:00
4,2022-04-05 21:23:00,Smoke,7.8,100.0,68.1,28.57,9.0,GA,2022-04-05 21:56:00
1,2022-12-07 08:03:00,Smoke,7.9,79.7,94.0,28.66,22.6,NC,2022-12-07 09:35:00
4,2022-03-20 20:30:00,Rain,5.3,83.3,38.3,30.85,2.2,PA,2022-03-20 21:16:00
1,2022-12-03 05:06:00,Snow,8.6,95.7,59.5,28.46,15.7,IL,2022-12-03 06:58:00
2,2022-03-05 08:18:00,Fog,4.0,38.0,90.7,28.11,3.7,OH,2022-03-05 10:01:00
3,2022-04-03 13:36:00,Clear,8.9,79.3,26.2,29.6,8.8,TX,2022-04-03 15:20:00
1,2022-12-14 03:49:00,Clear,2.6,89.6,24.5,29.59,7.8,GA,2022-12-14 04:01:00
4,2022-12-27 06:07:00,Cloudy,2.9,96.8,38.7,30.53,25.2,NY,2022-12-27 06:41:00
2,2022-05-05 20:07:00,Thunderstorm,0.7,44.8,70.6,30.85,5.8,CA,2022-05-05 21:57:00
1,2022-09-30 02:58:00,Clear,8.0,65.3,40.8,29.62,24.3,FL,2022-09-30 03:07:00
4,2022-06-16 16:16:00,Haze,4.3,77.6,35.2,30.79,23.8,NC,2022-06-16 18:04:00
4,2022-01-23 12:41:00,Snow,2.4,47.3,56.7,30.18,15.0,NY,2022-01-23 13:26:00
4,2022-06-15 07:18:00,Fog,2.5,72.0,69.1,28.79,7.0,MI,2022-06-15 08:14:00
1,2022-02-01 02:00:00,Smoke,9.0,48.0,39.9,30.79,6.8,MI,2022-02-01 02:39:00
1,2022-07-18 08:22:00,Rain,8.4,53.3,44.1,30.0,13.9,FL,2022-07-18 08:35:00
1,2022-08-30 13:40:00,Clear,5.6,60.9,69.1,29.24,0.3,NY,2022-08-30 14:12:00
3,2022-03-10 10:18:00,Rain,6.2,67.0,95.7,30.04,15.9,FL,2022-03-10 11:35:00
1,2022-12-22 05:11:00,Clear,4.8,61.5,74.0,29.2,28.6,FL,2022-12-22 07:08:00
1,2022-06-03 11:55:00,Fog,4.0,64.5,82.6,28.34,4.6,TX,2022-06-03 13:31:00
1,2022-09-23 18:56:00,Thunderstorm,9.2,50.9,49.3,30.16,17.2,PA,2022-09-23 19:41:00
3,2022-09-05 01:39:00,Snow,1.4,41.1,41.8,30.47,28.9,MI,2022-09-05 02:11:00
1,2022-07-13 07:15:00,Smoke,4.3,33.3,56.3,30.19,25.8,PA,2022-07-13 08:43:00
4,2022-09-13 06:10:00,Fog,3.6,43.7,84.6,28.69,25.5,MI,2022-09-13 07:18:00
1,2022-07-06 02:26:00,Rain,5.1,70.7,56.5,30.87,24.7,NY,2022-07-06 03:21:00
4,2022-11-13 21:31:00,Clear,4.7,85.0,87.7,28.08,9.3,GA,2022-11-13 23:29:00
4,2022-09-27 08:41:00,Rain,5.3,41.8,99.1,29.0,26.7,PA,2022-09-27 10:08:00
4,2022-08-02 23:12:00,Snow,1.6,37.6,25.8,28.78,28.2,GA,2022-08-03 00:15:00
3,2022-04-17 07:17:00,Haze,5.2,82.5,23.6,28.14,14.9,PA,2022-04-17 07:40:00
3,2022-02-07 21:35:00,Smoke,2.6,51.4,32.0,29.22,10.6,NC,2022-02-07 22:13:00
3,2022-11-26 03:18:00,Fog,2.0,96.6,50.7,29.87,12.4,FL,2022-11-26 03:40:00
1,2022-10-18 20:15:00,Rain,0.8,80.0,30.5,30.65,10.0,FL,2022-10-18 20:51:00
4,2022-11-30 21:28:00,Rain,7.7,52.9,89.7,30.97,6.4,TX,2022-11-30 23:08:00
3,2022-06-13 12:29:00,Snow,4.4,50.3,21.9,30.42,18.6,MI,2022-06-13 13:45:00
3,2022-03-27 11:46:00,Haze,6.3,66.7,45.3,29.41,16.9,PA,2022-03-27 12:59:00
1,2022-11-21 21:15:00,Clear,7.3,35.5,34.8,30.17,13.9,OH,2022-11-21 21:53:00
3,2022-07-28 16:06:00,Haze,6.9,38.2,94.5,30.53,2.9,OH,2022-07-28 17:46:00
1,2022-01-02 13:37:00,Rain,4.8,42.3,73.6,29.4,23.9,IL,2022-01-02 14:56:00
2,2022-07-21 01:08:00,Snow,4.0,84.2,93.0,30.36,5.2,PA,2022-07-21 02:07:00
3,2022-03-19 13:55:00,Clear,3.9,66.0,97.8,29.45,3.4,OH,2022-03-19 15:54:00
2,2022-01-19 12:14:00,Haze,6.5,30.7,59.8,29.16,18.7,TX,2022-01-19 13:33:00
1,2022-08-27 14:07:00,Smoke,5.0,77.1,38.7,29.58,12.0,MI,2022-08-27 15:03:00
4,2022-07-22 09:44:00,Haze,8.5,59.7,35.5,30.03,1.8,OH,2022-07-22 10:35:00
3,2022-12-06 12:26:00,Smoke,8.8,65.8,37.8,30.18,10.7,CA,2022-12-06 12:59:00
1,2022-03-24 08:21:00,Haze,1.9,45.0,76.7,29.07,23.2,PA,2022-03-24 08:43:00
4,2022-03-30 20:07:00,Thunderstorm,1.5,68.6,23.2,29.71,18.5,GA,2022-03-30 21:17:00
4,2022-01-25 03:33:00,Clear,6.4,98.5,24.1,30.73,10.9,CA,2022-01-25 04:41:00
2,2022-10-20 08:03:00,Haze,3.2,35.1,68.7,30.93,5.8,CA,2022-10-20 08:19:00
1,2022-08-24 02:20:00,Thunderstorm,0.4,49.9,71.4,28.68,19.0,PA,2022-08-24 04:01:00
4,2022-12-15 07:50:00,Fog,8.9,47.0,73.2,28.58,26.6,IL,2022-12-15 08:01:00
3,2022-09-14 19:56:00,Snow,2.4,47.4,49.8,30.03,19.4,FL,2022-09-14 21:51:00
3,2022-05-30 03:24:00,Haze,9.3,56.5,84.5,29.24,24.4,MI,2022-05-30 03:43:00
2,2022-03-26 19:18:00,Smoke,7.2,87.3,62.7,28.07,15.6,MI,2022-03-26 19:42:00
4,2022-08-03 22:41:00,Clear,7.7,93.9,28.4,29.04,21.5,OH,2022-08-04 00:06:00
1,2022-04-18 09:06:00,Smoke,2.2,44.2,83.8,30.42,26.9,OH,2022-04-18 09:31:00
3,2022-06-20 15:39:00,Thunderstorm,2.5,68.0,96.2,30.39,23.2,OH,2022-06-20 17:25:00
4,2022-11-29 04:36:00,Thunderstorm,5.3,74.6,24.8,29.48,27.3,PA,2022-11-29 06:08:00
4,2022-07-13 19:07:00,Fog,1.9,66.5,51.3,29.42,12.9,NY,2022-07-13 20:06:00
2,2022-08-04 02:15:00,Smoke,3.2,60.4,59.0,29.74,27.1,NC,2022-08-04 03:36:00
3,2022-08-08 18:40:00,Cloudy,3.4,43.4,31.7,28.66,18.6,NC,2022-08-08 18:53:00
3,2022-08-22 11:47:00,Snow,1.8,64.2,89.4,29.58,26.1,OH,2022-08-22 12:41:00
1,2022-06-17 06:51:00,Smoke,2.2,58.1,42.7,28.03,1.2,OH,2022-06-17 07:44:00
3,2022-04-24 22:34:00,Cloudy,7.9,85.7,82.6,29.43,19.7,GA,2022-04-24 23:55:00
1,2022-11-25 16:34:00,Clear,1.8,83.5,73.7,29.01,25.4,IL,2022-11-25 17:38:00
3,2022-12-20 18:52:00,Snow,0.5,39.4,67.8,30.02,5.2,NC,2022-12-20 20:04:00
2,2022-07-20 13:36:00,Smoke,6.4,36.2,35.4,29.92,19.9,PA,2022-07-20 14:13:00
3,2022-04-09 04:05:00,Fog,9.8,93.6,37.7,29.14,24.7,OH,2022-04-09 05:20:00
1,2022-11-08 20:36:00,Clear,3.4,67.5,23.8,28.02,8.6,OH,2022-11-08 22:31:00
1,2022-02-13 09:47:00,Snow,1.4,90.0,39.3,28.76,12.2,NC,2022-02-13 09:53:00
2,2022-02-09 16:14:00,Smoke,5.8,34.1,47.6,29.9,17.1,OH,2022-02-09 17:46:00
3,2022-04-03 11:32:00,Smoke,9.1,66.9,86.7,28.22,15.6,FL,2022-04-03 13:09:00
3,2022-06-17 12:25:00,Snow,7.9,67.8,49.3,28.32,1.2,PA,2022-06-17 12:44:00
2,2022-05-15 01:49:00,Cloudy,6.3,90.2,80.4,29.94,3.0,PA,2022-05-15 03:21:00
3,2022-05-01 20:37:00,Clear,3.3,36.8,55.2,30.27,3.0,OH,2022-05-01 22:35:00
3,2022-10-28 16:35:00,Fog,5.5,46.8,82.8,28.96,7.9,PA,2022-10-28 17:48:00
1,2022-12-11 10:53:00,Fog,1.1,58.5,98.1,29.47,7.4,NY,2022-12-11 12:34:00
3,2022-07-24 04:25:00,Clear,6.9,90.6,39.2,30.84,22.3,PA,2022-07-24 05:04:00
3,2022-12-14 06:58:00,Clear,7.3,95.7,89.0,30.84,17.2,FL,2022-12-14 08:41:00
2,2022-06-29 00:43:00,Thunderstorm,9.7,99.5,69.7,28.92,22.9,CA,2022-06-29 02:10:00
2,2022-08-08 15:15:00,Rain,2.8,97.1,85.4,30.43,2.1,CA,2022-08-08 16:03:00
4,2022-01-09 21:48:00,Smoke,0.4,30.4,72.1,29.78,14.6,IL,2022-01-09 22:07:00
1,2022-12-25 21:55:00,Cloudy,5.5,33.3,53.9,30.93,9.7,GA,2022-12-25 22:37:00
3,2022-06-05 04:21:00,Clear,7.1,40.3,38.2,29.43,25.5,FL,2022-06-05 05:21:00
3,2022-11-01 05:20:00,Clear,7.9,54.4,25.6,30.32,21.2,TX,2022-11-01 05:45:00
4,2022-10-15 04:03:00,Rain,2.1,88.1,62.8,30.3,26.1,GA,2022-10-15 05:06:00
3,2022-09-11 05:42:00,Rain,2.8,92.5,99.2,29.49,1.4,NC,2022-09-11 05:47:00
1,2022-07-15 15:55:00,Snow,5.2,43.1,79.0,30.39,21.6,NC,2022-07-15 17:32:00
4,2022-08-23 23:44:00,Haze,3.4,73.4,46.2,28.78,16.2,TX,2022-08-24 01:41:00
1,2022-06-16 11:19:00,Fog,8.6,94.2,86.2,28.37,24.8,GA,2022-06-16 12:56:00
4,2022-07-04 17:30:00,Cloudy,4.8,62.5,81.5,29.28,15.2,TX,2022-07-04 18:08:00
4,2022-11-01 03:00:00,Snow,8.0,37.2,42.5,30.83,16.2,OH,2022-11-01 04:09:00
2,2022-02-05 16:14:00,Clear,5.9,62.0,21.1,29.5,1.6,GA,2022-02-05 17:56:00
1,2022-03-21 10:37:00,Smoke,7.8,56.3,29.5,29.91,20.1,CA,2022-03-21 11:04:00
3,2022-06-22 14:32:00,Rain,3.5,70.4,90.2,29.87,8.2,GA,2022-06-22 15:41:00
3,2022-09-26 13:21:00,Thunderstorm,8.3,60.7,86.9,28.4,0.6,FL,2022-09-26 13:39:00
1,2022-10-21 23:32:00,Fog,2.9,31.2,43.6,29.17,2.0,CA,2022-10-22 01:28:00
3,2022-07-23 04:15:00,Snow,5.6,99.6,42.8,30.12,28.7,OH,2022-07-23 05:40:00
3,2022-10-13 12:04:00,Thunderstorm,2.3,68.0,83.4,30.92,10.4,MI,2022-10-13 12:47:00
1,2022-01-21 08:56:00,Fog,4.9,63.2,95.0,28.5,26.0,FL,2022-01-21 10:48:00
4,2022-02-08 10:30:00,Haze,3.3,96.8,82.3,29.23,28.8,GA,2022-02-08 11:56:00
1,2022-12-21 11:50:00,Haze,2.8,40.9,68.4,28.29,28.3,NC,2022-12-21 12:59:00
4,2022-02-12 12:40:00,Thunderstorm,9.7,43.2,39.4,28.73,26.5,TX,2022-02-12 14:02:00
3,2022-10-05 08:11:00,Rain,1.8,86.6,62.1,29.13,26.8,CA,2022-10-05 08:41:00
3,2022-05-06 19:56:00,Snow,7.9,48.3,38.7,29.62,8.7,GA,2022-05-06 20:20:00
3,2022-08-07 18:14:00,Snow,9.8,85.9,84.6,28.69,4.5,MI,2022-08-07 19:06:00
2,2022-11-09 08:03:00,Haze,0.4,49.0,51.0,28.68,19.2,PA,2022-11-09 09:45:00
4,2022-05-09 05:06:00,Fog,7.1,32.3,86.7,30.33,14.6,MI,2022-05-09 05:31:00
2,2022-09-21 05:19:00,Thunderstorm,2.7,66.2,50.5,30.89,3.0,CA,2022-09-21 06:33:00
2,2022-11-03 06:48:00,Rain,0.6,43.8,85.9,28.97,20.3,FL,2022-11-03 08:32:00
1,2022-07-09 21:32:00,Clear,4.1,83.0,46.7,30.06,16.9,NC,2022-07-09 22:44:00
2,2022-06-17 06:13:00,Snow,9.4,74.9,55.2,28.77,25.9,NC,2022-06-17 06:18:00
1,2022-05-03 17:43:00,Smoke,0.3,94.7,69.2,30.78,18.3,PA,2022-05-03 19:04:00
1,2022-03-04 17:06:00,Clear,6.0,84.8,25.6,30.02,17.2,FL,2022-03-04 17:52:00
2,2022-03-06 10:09:00,Rain,5.1,42.7,95.9,30.41,13.2,GA,2022-03-06 11:16:00
4,2022-03-02 14:25:00,Haze,8.8,86.0,65.9,28.15,13.9,PA,2022-03-02 14:32:00
4,2022-02-06 09:48:00,Smoke,1.0,74.9,60.6,29.8,28.6,CA,2022-02-06 10:07:00
4,2022-02-04 01:47:00,Snow,6.9,76.8,87.2,29.58,4.2,PA,2022-02-04 02:38:00
4,2022-03-19 22:17:00,Snow,6.9,88.3,89.3,28.88,13.4,IL,2022-03-20 00:14:00
4,2022-10-18 09:44:00,Thunderstorm,6.8,70.2,61.8,28.79,19.7,GA,2022-10-18 11:35:00
2,2022-04-10 07:00:00,Smoke,9.4,62.6,94.2,29.74,13.0,TX,2022-04-10 08:48:00
2,2022-12-15 20:47:00,Clear,8.3,74.6,25.2,30.12,8.5,OH,2022-12-15 21:31:00
3,2022-08-22 22:11:00,Haze,0.6,50.9,29.1,28.1,8.6,PA,2022-08-22 22:46:00
4,2022-05-26 08:49:00,Thunderstorm,4.8,42.8,67.7,29.7,7.0,CA,2022-05-26 09:01:00
2,2022-06-28 17:14:00,Cloudy,4.1,73.2,48.3,28.51,10.3,GA,2022-06-28 17:49:00
3,2022-12-30 11:26:00,Clear,3.2,46.4,57.1,28.42,26.2,PA,2022-12-30 13:23:00
4,2022-02-12 12:15:00,Clear,4.6,35.6,46.2,29.87,15.2,FL,2022-02-12 13:32:00
1,2022-08-05 08:53:00,Cloudy,4.0,30.0,52.4,28.93,7.2,IL,2022-08-05 09:08:00
3,2022-04-28 17:30:00,Rain,4.4,72.6,85.8,29.32,11.5,OH,2022-04-28 17:45:00
2,2022-05-04 02:01:00,Smoke,9.8,55.4,67.5,29.08,3.2,NC,2022-05-04 03:39:00
1,2022-04-07 08:11:00,Smoke,1.1,82.7,99.8,29.95,27.1,NY,2022-04-07 09:18:00
1,2022-11-12 03:50:00,Rain,9.2,56.3,83.0,29.41,12.2,TX,2022-11-12 05:39:00
